十碼章,醫院名稱,行政區,地址,連絡電話,座標緯度,座標經度
102020011,高雄市立聯合醫院,64000020,高雄市鼓山區龍水里中華一路976號,(07)5552565,22.6549319,120.2890053
102070020,高雄市立大同醫院,64000070,高雄市前金區中華三路68號,(07)2911101,22.62699,120.297205
102080017,高雄市立民生醫院,64000080,高雄市苓雅區凱旋二路134號,(07)7511131,22.626491,120.323736
102080026,高雄市立凱旋醫院,64000080,高雄市苓雅區凱旋二路130號,(07)7513171,22.6251221,120.3218433
142030019,衛生福利部旗山醫院,64000300,高雄市旗山區大德里中學路60號,(07)6613811,22.880694,120.483277
502030015,國軍高雄總醫院左營分院,64000030,高雄市左營區合群里軍校路553號,(07)5811648,22.700352,120.292231
502080015,國軍高雄總醫院附設民眾診療處,64000080,高雄市苓雅區建軍路5號,(07)7496751,22.6259888,120.3397398
542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,64000190,高雄市岡山區大義二路1號,(07)6250919,22.789456,120.285874
602030026,高雄榮民總醫院,64000030,高雄市左營區福山里大中一路386號,(07)3422121,22.677697,120.322257
902080013,阮綜合醫療社團法人阮綜合醫院,64000080,高雄市苓雅區鼓中里成功一路162號,(07)3351121,22.615583,120.297377
907030013,廣聖醫療社團法人廣聖醫院,64000300,高雄市旗山區中華路618號,(07)6622391,22.884981,120.485444
907320012,愛仁醫療社團法人愛仁醫院,64000050,高雄市三民區民族一路51號,(07)3115159,22.641817,120.31384
907350010,乃榮醫療社團法人乃榮醫院,64000080,高雄市苓雅區三多二路226號,(07)7613151,22.6187484,120.3166033
942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,64000190,高雄市岡山區岡山里壽天路12號,(07)6222131,22.796612,120.294443
1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),64000110,高雄市小港區山明里山明路482號,(07)8036783,22.567467,120.363369
1107120017,義大醫療財團法人義大癌治療醫院,64000210,高雄市燕巢區角宿里義大路21號,(07)6150022,22.766469,120.364783
1107320017,義大醫療財團法人義大大昌醫院,64000050,高雄市三民區大昌一路305號,(07)6150011,22.6577272,120.3180026
1107350015,天主教聖功醫療財團法人聖功醫院,64000080,高雄市苓雅區建國一路352號,(07)2238153,22.633118,120.323927
1142010518,高雄市立鳳山醫院,64000120,高雄市鳳山區經武路42號,(07)7418151,22.628564,120.363087
1142100017,長庚醫療財團法人高雄長庚紀念醫院,64000180,高雄市鳥松區鳥松里大埤路123號,(07)7317123,22.649847,120.356029
1142120001,義大醫療財團法人義大醫院,64000210,高雄市燕巢區角宿里義大路1號,(07)6150011,22.765521,120.364451
1202080029,信義醫院,64000080,高雄市苓雅區華新街86號,(07)3321111,22.613969,120.29642
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,64000050,高雄市三民區安生里自由一路100號,(07)3121101,22.647122,120.310169
1307370011,高雄市立旗津醫院,64000100,高雄市旗津區旗港路33號,(07)5711188,22.59021,120.285113
1442060014,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,64000140,高雄市大寮區鳳屏一路509號,(07)7030315,22.639236,120.397505
1502020056,聖明醫院,64000020,高雄市鼓山區鼓山三路52號,(07)5313755,22.655078,120.275613
1502020065,正大醫院,64000020,高雄市鼓山區鼓山三路128-9號,(07)5823989,22.663874,120.27954
1502031095,馨蕙馨醫院,64000030,高雄市左營區明誠二路541號,(07)5586080,22.66097,120.303829
1502031102,柏仁醫院,64000030,高雄市左營區博愛二路350號,(07)5508888,22.664342,120.303632
1502040021,健仁醫院,64000040,高雄市楠梓區中陽里楠陽路136號,(07)3517166,22.72362,120.328988
1502040076,顏威裕醫院,64000040,高雄市楠梓區秀昌里後昌路826號,(07)3639053,22.711168,120.295692
1502041108,長春醫院,64000040,高雄市楠梓區右昌街331號,(07)3612995,22.714272,120.2891
1502041117,右昌聯合醫院,64000040,高雄市楠梓區軍校路930號,(07)3643388,22.7138,120.290879
1502050045,德謙醫院,64000050,高雄市三民區九如二路18號,(07)3210981,22.640667,120.313205
1502050152,南山醫院,64000050,高雄市三民區建東里建國三路151號,(07)2882101,22.637671,120.298535
1502050170,祐生醫院,64000050,高雄市三民區建國三路60號,(07)2866688,22.637983,120.296106
1502050241,民族醫院,64000050,高雄市三民區民族一路880號,(07)3462802,22.668546,120.317459
1502050296,文雄醫院,64000050,高雄市三民區察哈爾二街132號,(07)3165275,22.64805,120.299645
1502051364,全民醫院,64000050,高雄市三民區九如二路505號,(07)3220066,22.641299,120.298526
